gene,importance
ENSG00000116857,2.6645352591003727e-18
ENSG00000172888,2.6151920135614783e-18
ENSG00000184900,2.5557787179126038e-18
ENSG00000150316,2.5557787179126034e-18
ENSG00000142185,2.516505522483687e-18
ENSG00000143320,2.4424906541753427e-18
ENSG00000106692,2.4424906541753427e-18
ENSG00000139915,2.4424906541753423e-18
ENSG00000069018,2.4424906541753423e-18
ENSG00000119698,2.4424906541753423e-18
ENSG00000119638,2.4424906541753423e-18
ENSG00000171051,2.4424906541753423e-18
ENSG00000271894,2.4424906541753423e-18
ENSG00000029559,2.4424906541753423e-18
ENSG00000117118,2.4424906541753423e-18
ENSG00000187535,2.4424906541753423e-18
ENSG00000140992,2.4424906541753423e-18
ENSG00000242086,2.442490654175342e-18
ENSG00000164924,2.442490654175342e-18
ENSG00000065970,2.442490654175342e-18
ENSG00000115457,2.4424906541753416e-18
ENSG00000063180,2.4424906541753416e-18
ENSG00000141101,2.4424906541753416e-18
ENSG00000159167,2.4424906541753416e-18
ENSG00000188282,2.4424906541753416e-18
ENSG00000186174,2.4424906541753416e-18
ENSG00000171566,2.4424906541753416e-18
ENSG00000131871,2.4424906541753416e-18
ENSG00000170004,2.4424906541753416e-18
ENSG00000127054,2.4424906541753416e-18
ENSG00000182504,2.4424906541753408e-18
ENSG00000160447,2.3988747496364965e-18
ENSG00000166797,2.3972593457646885e-18
ENSG00000130338,2.3972593457646873e-18
ENSG00000136758,2.3936408410918355e-18
ENSG00000166128,2.3916054322133566e-18
ENSG00000160221,2.386979502944084e-18
ENSG00000116044,2.3520280373540334e-18
ENSG00000183741,2.350321195527217e-18
ENSG00000004700,2.3485487059378286e-18
ENSG00000162636,2.348548705937828e-18
ENSG00000100985,2.344791028008328e-18
ENSG00000182095,2.176037128265304e-18
ENSG00000236824,2.1760371282653033e-18
ENSG00000125965,2.035408878479452e-18
ENSG00000173905,1.998401444325281e-18
ENSG00000114841,1.9984014443252805e-18
ENSG00000101098,1.9984014443252805e-18
ENSG00000114446,1.99840144432528e-18
ENSG00000242252,1.99840144432528e-18
ENSG00000115252,1.99840144432528e-18
ENSG00000187474,1.9984014443252797e-18
ENSG00000173915,1.9984014443252797e-18
ENSG00000153707,1.9984014443252793e-18
ENSG00000182774,1.9613940101711088e-18
ENSG00000134802,1.9599706473190246e-18
ENSG00000137161,1.9599706473190246e-18
ENSG00000138942,1.9599706473190246e-18
ENSG00000129596,1.9599706473190246e-18
ENSG00000175318,1.9599706473190242e-18
ENSG00000103257,1.955882264658785e-18
ENSG00000245748,1.924386576016937e-18
ENSG00000184898,1.9243865760169368e-18
ENSG00000137038,1.9215398503127695e-18
ENSG00000010278,1.7763568394002497e-18
ENSG00000140254,1.7763568394002497e-18
ENSG00000065000,1.7763568394002497e-18
ENSG00000124275,1.7763568394002493e-18
ENSG00000031823,1.7763568394002493e-18
ENSG00000241613,1.776356839400249e-18
ENSG00000283321,1.776356839400249e-18
ENSG00000276077,1.776356839400249e-18
ENSG00000120860,1.776356839400249e-18
ENSG00000166987,1.776356839400249e-18
ENSG00000166908,1.776356839400249e-18
ENSG00000087338,1.776356839400249e-18
ENSG00000013583,1.7763568394002486e-18
ENSG00000148229,1.7763568394002486e-18
ENSG00000081479,1.7763568394002486e-18
ENSG00000131149,1.7763568394002486e-18
ENSG00000075213,1.7763568394002486e-18
ENSG00000073712,1.7763568394002486e-18
ENSG00000230606,1.776356839400248e-18
ENSG00000187446,1.776356839400248e-18
ENSG00000064601,1.776356839400248e-18
ENSG00000204310,1.710565845348389e-18
ENSG00000279094,1.7080354225002396e-18
